0,description,topic,tech
Blender Foundation,The Freedom to Create,"['games', 'graphics', '3d', 'rendering', 'animation']","['c', 'python', 'opengl', 'c++', 'vulkan']"
Homebrew,The Missing Package Manager for macOS (or Linux),"['linux', 'package manager', 'macos']","['linux', 'ruby', 'macos']"
KDE Community,International team developing Open Source software,"['education', 'science', 'applications', 'desktop environment']","['c++', 'qt', 'qml', 'data structures']"
X.Org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)","['graphics', 'drivers']","['opengl', 'vulkan', 'x11', 'wayland', 'DRM']"
NumFOCUS,NumFOCUS promotes open source scientific software.,"['data science', 'graphics', 'scientific computing', 'numerical computation']","['python', 'c++', 'r', 'julia']"
Joplin,The open source note taking application,"['database', 'search', 'synchronisation', 'note-taking', 'office']","['javascript', 'react', 'typescript', 'electron', 'React-Native']"
LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,"['compilers', 'development tools', 'libraries']","['llvm', 'c++', 'clang', 'mlir']"
Polypheny,The distributed and self-adaptive polystore,"['database', 'big data', 'cloud', 'polystore', 'nosql']","['javascript', 'java', 'sql', 'angular']"
National Resource for Network Biology (NRNB),Developing open source tools for network biology,"['web application', 'data science', 'graphics', 'scientific computing', 'network biology']","['python', 'javascript', 'java', 'xml', 'r']"
CGAL Project,C++ library of computational geometry,"['geometry', 'mesh processing', 'computation geometry', 'geometry processing']","['c++', 'qt']"
BeagleBoard.org,Open hardware computing for educators and makers,"['robotics', 'iot', 'ai', 'software defined radio', 'Personal Server']","['linux', 'fpga', 'risc-v', 'dsp', 'Zephyr RTOS']"
Git,"Fast,Scalable,Distributed revision control system","['version control', 'dvcs']","['shell script', 'git', 'c language']"
strace,Linux syscall tracer,"['debugging', 'tracing', 'diagnostic']","['c', 'shell', 'make', 'autotools', 'gawk']"
libssh,The SSH library,"['security', 'cryptography']","['c', 'ssh']"
Micro Electronics Research Lab - UITU,Accelerating Engineering Innovation,"['iot', 'embedded', 'Processor', 'System on Chip', 'RISC-V']","['RISCV', 'Processor', 'Hardware', 'systemonchip', 'memory']"
Wikimedia Foundation,Brings free educational content to the world,"['semantic web', 'wikipedia', 'wikimedia', 'mediawiki', 'i18n']","['python', 'javascript', 'html', 'php', 'css']"
Zulip,Modern team chat app designed for efficiency.,"['mobile', 'great developer tooling', 'visual design', 'teaching quality codebase', 'team chat']","['python', 'django', 'typescript', 'react native', 'electron']"
coreboot,"Fast, secure and flexible BIOS firmware","['hardware', 'drivers', 'firmware', 'boot loader', 'BIOS']","['c', 'assembly', 'arm', 'x86']"
FRRouting,"Routing suite including BGP, IS-IS, LDP, OSPF, PIM","['networking', 'software defined networking', 'linux', 'routing', 'systems']","['c', 'linux', 'networking', 'linux kernel', 'routing']"
Matrix.org,"Open, secure, decentralised communication","['interoperability', 'decentralisation', 'Secure Messaging']","['python', 'javascript', 'rust']"
Gentoo Foundation,Free visual coding apps for computational thinking,"['operating systems', 'security', 'embedded', 'init', 'package']","['c', 'python', 'shell', 'linux', 'bash']"
Synfig,Open-source 2D animation software,"['2d/3d graphics', 'animation', 'vector graphics']","['python', 'c++', 'gtk', 'gtkmm']"
Responsible AI and Human Centred Technology,Human-centered and responsible AI for all,"['machine learning', 'ai', 'Fairness', 'Robustness', 'Safety', 'Interpretibility']","['python', 'javascript', 'Technical writing']"
The ENIGMA Team,A free rapid game development environment.,"['graphics', 'game development', 'compiler', 'programming', 'game design']","['opengl', 'c++', 'qt5']"
SageMath,Open-source mathematics software system,"['mathematics', 'education', 'research']","['python', 'cython']"
Monado,"Monado, the free and open source XR platform","['vr', 'xr', 'AR']","['opengl', 'vulkan', 'openxr', 'Graphics', 'XR']"
Jenkins X,Accelerate Your Continuous Delivery on Kubernetes,"['cloud', 'CI/CD']","['golang', 'kubernetes', 'gitops']"
